题号,A,B,C,D,E,答案,声音
1,第一心音增强,生理性第三心音,正常心音,主动脉瓣第二心音增强,开瓣音,3,21xj.wav
2,生理性第三心音,正常心音,第一心音增强,第一心音减弱,肺动脉瓣第二心音增强,2,21xj.wav
3,主动脉瓣第二心音增强,生理性第三心音,第一心音增强,正常心音,肺动脉瓣第二心音增强,4,21xj.wav
4,生理性第三心音,正常心音,第一心音增强,第一心音减弱,肺动脉瓣第二心音增强,1,25M.wav
5,第一心音增强,主动脉瓣第二心音增强,生理性第三心音,正常心音,肺动脉瓣第二心音增强,3,25M.wav
6,正常心音,生理性第三心音,开瓣音,舒张早期奔马律,第一心音增强,2,25M.wav
7,生理性第三心音,正常心音,主动脉瓣第二心音增强,第一心音增强,肺动脉瓣第二心音增强,4,29MT.wav
8,正常心音,第一心音增强,生理性杂音,生理性第三心音,主动脉瓣第二心音增强,2,29MT.wav
9,钟摆律,正常心音,第一心音增强,生理性杂音,生理性第三心音,3,29MT.wav
10,第一心音减弱,第一心音增强,生理性第三心音,肺动脉瓣第二心音增强,正常心音,2,29MT.wav
11,正常心音,生理性第三心音,第一心音增强,第一心音减弱,肺动脉瓣第二心音增强,4,31MT.wav
12,第一心音增强,生理性第三心音,正常心音,肺动脉瓣第二心音增强,主动脉瓣第二心音增强,4,34P.wav
13,生理性第三心音,正常心音,肺动脉瓣第二心音增强,收缩期杂音伴固定性第二心音分裂,肺动脉瓣收缩早期喷射音,3,34P.wav
14,主动脉瓣第二心音增强,肺动脉瓣第二心音增强,生理性杂音,生理性第三心音,正常心音,2,34P.wav
15,正常心音,生理性第三心音,第一心音增强,主动脉瓣第二心音增强,肺动脉瓣第二心音增强,4,35A.wav
16,正常心音,生理性第三心音,主动脉瓣第二心音增强,收缩期杂音伴固定性第二心音分裂,主动脉瓣收缩早期喷射音,3,35A.wav
17,肺动脉瓣第二心音增强,主动脉瓣第二心音增强,生理性杂音,正常心音,生理性第三心音,2,35A.wav
18,肺动脉瓣第二心音增强,通常分裂,钟摆律,生理性第三心音,生理性杂音,3,37MT.wav
19,生理性第三心音,通常分裂,钟摆律,主动脉瓣第二心音增强,舒张早期奔马律,3,37MT.wav
20,正常心音,生理性第三心音,通常分裂,钟摆律,主动脉瓣第二心音增强,3,42P.wav
21,生理性第三心音,舒张早期奔马律,钟摆律,通常分裂,收缩期杂音伴固定性第二心音分裂,4,42P.wav
22,第一心音分裂,重叠型奔马律,通常分裂,生理性第三心音,第一心音增强,3,42P.wav
23,通常分裂,钟摆律,肺动脉瓣第二心音增强,生理性第三心音,生理性杂音,1,42P.wav
24,收缩期杂音伴固定性第二心音分裂,室间隔缺损,动脉导管未闭,二尖瓣狭窄,二尖瓣关闭不全,1,43P.wav
25,正常心音,生理性第三心音,收缩期杂音伴固定性第二心音分裂,主动脉瓣狭窄,二尖瓣狭窄,3,43P.wav
26,室间隔缺损,动脉导管未闭,收缩期杂音伴固定性第二心音分裂,主动脉瓣狭窄,主动脉瓣关闭不全,3,43P.wav
27,生理性杂音,二尖瓣狭窄,主动脉瓣狭窄,收缩期杂音伴固定性第二心音分裂,室间隔缺损,4,43P.wav
28,收缩期杂音伴固定性第二心音分裂,生理性第三心音,舒张早期奔马律,开瓣音,二尖瓣狭窄,3,45M.wav
29,第一心音分裂,收缩期杂音伴固定性第二心音分裂,第一心音增强,生理性第三心音,舒张早期奔马律,5,45M.wav
30,第一心音分裂,舒张早期奔马律,二尖瓣狭窄,主动脉瓣狭窄,生理性第三心音,2,45M.wav
31,二尖瓣狭窄,二尖瓣关闭不全,钟摆律,舒张早期奔马律,肺动脉瓣收缩早期喷射音,4,45M.wav
32,钟摆律,通常分裂,舒张早期奔马律,二尖瓣狭窄,二尖瓣关闭不全,3,45M.wav
33,通常分裂,钟摆律,主动脉瓣第二心音增强,舒张期四音律,二尖瓣狭窄,4,49M.wav
34,舒张期四音律,二尖瓣狭窄,二尖瓣关闭不全,收缩期杂音伴固定性第二心音分裂,生理性杂音,1,49M.wav
35,舒张期四音律,开瓣音,收缩期杂音伴固定性第二心音分裂,二尖瓣狭窄,二尖瓣关闭不全,2,50N.wav
36,收缩期杂音伴固定性第二心音分裂,二尖瓣狭窄,舒张期四音律,舒张早期奔马律,开瓣音,5,50N.wav
37,开瓣音,二尖瓣狭窄,二尖瓣关闭不全,舒张早期奔马律,钟摆律,1,50N.wav
38,主动脉瓣收缩早期喷射音,肺动脉瓣收缩早期喷射音,室间隔缺损,动脉导管未闭,舒张早期奔马律,2,54P.wav
39,室间隔缺损,动脉导管未闭,肺动脉瓣收缩早期喷射音,主动脉瓣收缩早期喷射音,主动脉瓣狭窄,3,54P.wav
40,主动脉瓣关闭不全,主动脉瓣狭窄,肺动脉瓣收缩早期喷射音,二尖瓣狭窄,室间隔缺损,3,54P.wav
41,肺动脉瓣收缩早期喷射音,主动脉瓣收缩早期喷射音,室间隔缺损,动脉导管未闭,舒张早期奔马律,2,55A.wav
42,动脉导管未闭,室间隔缺损,主动脉瓣收缩早期喷射音,肺动脉瓣收缩早期喷射音,二尖瓣关闭不全,3,55A.wav
43,二尖瓣狭窄,二尖瓣关闭不全,主动脉瓣收缩早期喷射音,室间隔缺损,房间隔缺损,3,55A.wav
44,二尖瓣狭窄,二尖瓣关闭不全,生理性杂音,主动脉瓣关闭不全,主动脉瓣狭窄,3,67P.wav
45,主动脉瓣收缩早期喷射音,生理性杂音,固定性第二心音分裂,室间隔缺损,动脉导管未闭,2,67P.wav
46,固定性第二心音分裂,生理性杂音,主动脉瓣狭窄,主动脉瓣关闭不全,室间隔缺损,2,67P.wav
47,生理性杂音,二尖瓣狭窄,房间隔缺损,室间隔缺损,二尖瓣关闭不全,2,72M.wav
48,房间隔缺损,二尖瓣关闭不全,二尖瓣狭窄,室间隔缺损,动脉导管未闭,3,72M.wav
49,动脉导管未闭,主动脉瓣狭窄,主动脉瓣关闭不全,二尖瓣狭窄,二尖瓣关闭不全,4,72M.wav
50,主动脉瓣狭窄,主动脉瓣关闭不全,二尖瓣狭窄,二尖瓣关闭不全,室间隔缺损,3,72M.wav
51,重叠型奔马律,二尖瓣狭窄,生理性杂音,二尖瓣关闭不全,主动脉瓣狭窄,2,72M.wav
52,第一心音分裂,主动脉瓣狭窄,主动脉瓣狭窄并关闭不全,二尖瓣狭窄,二尖瓣关闭不全,4,72M.wav
53,重叠型奔马律,二尖瓣关闭不全,二尖瓣狭窄,主动脉瓣狭窄,主动脉瓣关闭不全,3,72M.wav
54,二尖瓣狭窄,二尖瓣关闭不全,主动脉瓣狭窄,主动脉瓣关闭不全,主动脉瓣狭窄并关闭不全,2,80M.wav
55,动脉导管未闭,二尖瓣关闭不全,二尖瓣狭窄,主动脉瓣狭窄,主动脉瓣关闭不全,2,80M.wav
56,生理性杂音,动脉导管未闭,二尖瓣狭窄,二尖瓣关闭不全,主动脉瓣狭窄,4,80M.wav
57,生理性杂音,二尖瓣狭窄,二尖瓣关闭不全,房间隔缺损,室间隔缺损,3,80M.wav
58,房间隔缺损,室间隔缺损,动脉导管未闭,二尖瓣关闭不全,二尖瓣狭窄,4,80M.wav
59,肺动脉瓣收缩早期喷射音,主动脉瓣收缩早期喷射音,二尖瓣狭窄,二尖瓣关闭不全,房间隔缺损,4,80M.wav
60,主动脉瓣收缩早期喷射音,房间隔缺损,二尖瓣狭窄,二尖瓣关闭不全,开瓣音,4,80M.wav
61,生理性杂音,肺动脉瓣收缩早期喷射音,主动脉瓣收缩早期喷射音,主动脉瓣狭窄,二尖瓣狭窄伴关闭不全,5,87M.wav
62,二尖瓣狭窄伴关闭不全,二尖瓣狭窄,生理性杂音,主动脉瓣狭窄并关闭不全,主动脉瓣狭窄,1,87M.wav
63,房间隔缺损,室间隔缺损,二尖瓣狭窄伴关闭不全,动脉导管未闭,主动脉瓣狭窄,3,87M.wav
64,二尖瓣关闭不全,生理性杂音,二尖瓣狭窄,主动脉瓣狭窄,二尖瓣狭窄伴关闭不全,4,90A.wav
65,肺动脉瓣收缩早期喷射音,二尖瓣狭窄,二尖瓣关闭不全,主动脉瓣关闭不全,主动脉瓣狭窄,5,90A.wav
66,房间隔缺损,主动脉瓣狭窄,二尖瓣关闭不全,二尖瓣狭窄,生理性杂音,2,90A.wav
67,主动脉瓣狭窄,主动脉瓣关闭不全,主动脉瓣狭窄并关闭不全,二尖瓣狭窄,二尖瓣关闭不全,1,90A.wav
68,室间隔缺损,肺动脉瓣收缩早期喷射音,二尖瓣关闭不全,主动脉瓣狭窄,主动脉瓣关闭不全,4,90A.wav
69,生理性杂音,主动脉瓣狭窄并关闭不全,二尖瓣狭窄,二尖瓣关闭不全,主动脉瓣狭窄,5,90A.wav
70,房间隔缺损,室间隔缺损,动脉导管未闭,主动脉瓣关闭不全,主动脉瓣狭窄,5,90A.wav
71,生理性杂音,二尖瓣狭窄,二尖瓣关闭不全,主动脉瓣狭窄,主动脉瓣关闭不全,5,95E.wav
72,主动脉瓣狭窄,主动脉瓣关闭不全,二尖瓣关闭不全,二尖瓣狭窄伴关闭不全,二尖瓣狭窄,2,95E.wav
73,二尖瓣关闭不全,房间隔缺损,二尖瓣狭窄,主动脉瓣关闭不全,主动脉瓣狭窄,4,95E.wav
74,肺动脉瓣收缩早期喷射音,主动脉瓣狭窄,二尖瓣关闭不全,主动脉瓣关闭不全,二尖瓣狭窄伴关闭不全,4,95E.wav
75,动脉导管未闭,房间隔缺损,主动脉瓣关闭不全,主动脉瓣狭窄,二尖瓣关闭不全,3,95E.wav
76,主动脉瓣关闭不全,生理性杂音,肺动脉瓣收缩早期喷射音,主动脉瓣狭窄,二尖瓣狭窄,1,95E.wav
77,二尖瓣狭窄,二尖瓣关闭不全,二尖瓣狭窄伴关闭不全,主动脉瓣狭窄,主动脉瓣狭窄并关闭不全,5,101E.wav
78,二尖瓣狭窄,室间隔缺损,房间隔缺损,主动脉瓣狭窄并关闭不全,二尖瓣关闭不全,4,101E.wav
79,主动脉瓣狭窄并关闭不全,二尖瓣关闭不全,主动脉瓣狭窄,二尖瓣狭窄,室间隔缺损,1,101E.wav
80,动脉导管未闭,主动脉瓣关闭不全,主动脉瓣狭窄,房间隔缺损,室间隔缺损,4,109P.wav
81,室间隔缺损,房间隔缺损,动脉导管未闭,主动脉瓣关闭不全,二尖瓣关闭不全,2,109P.wav
82,室间隔缺损,二尖瓣关闭不全,主动脉瓣狭窄,房间隔缺损,动脉导管未闭,4,109P.wav
83,二尖瓣狭窄,二尖瓣关闭不全,主动脉瓣关闭不全,房间隔缺损,动脉导管未闭,4,109P.wav
84,动脉导管未闭,房间隔缺损,室间隔缺损,二尖瓣关闭不全,主动脉瓣狭窄,3,110E.wav
85,生理性杂音,主动脉瓣狭窄,二尖瓣关闭不全,房间隔缺损,室间隔缺损,5,110E.wav
86,动脉导管未闭,房间隔缺损,室间隔缺损,二尖瓣狭窄,二尖瓣关闭不全,3,110E.wav
87,房间隔缺损,动脉导管未闭,二尖瓣关闭不全,室间隔缺损,主动脉瓣狭窄,4,110E.wav
88,室间隔缺损,动脉导管未闭,房间隔缺损,主动脉瓣狭窄并关闭不全,收缩期杂音伴固定性第二心音分裂,2,113P.wav
89,房间隔缺损,室间隔缺损,动脉导管未闭,主动脉瓣关闭不全,肺动脉瓣收缩早期喷射音,3,113P.wav
90,动脉导管未闭,室间隔缺损,房间隔缺损,肺动脉瓣收缩早期喷射音,主动脉瓣收缩早期喷射音,1,113P.wav
91,频发性室性期前收缩,二联律,正常心音,生理性第三心音,心房纤颤,2,123MT.wav
92,窦性心动过缓,陈发性室上性心动过速,窦性心律不齐,二联律,心房纤颤,4,123MT.wav
93,频发性室性期前收缩,窦性心动过缓,二联律,正常心音,生理性第三心音,3,123MT.wav
94,二联律,频发性室性期前收缩,窦性心动过速,心房纤颤,生理性杂音,3,118MT.wav
95,窦性心动过缓,二联律,心房纤颤,窦性心动过速,陈发性室上性心动过速,4,118MT.wav
96,陈发性室上性心动过速,窦性心动过缓,心房纤颤,窦性心动过速,二尖瓣关闭不全,4,118MT.wav
97,生理性杂音,二联律,频发性室性期前收缩,心房纤颤,窦性心动过缓,3,122MT.wav
98,陈发性室上性心动过速,频发性室性期前收缩,二联律,二尖瓣狭窄,窦性心动过缓,2,122MT.wav
99,频发性室性期前收缩,二联律,窦性心动过速,心房纤颤,陈发性室上性心动过速,1,122MT.wav
100,心房纤颤,正常心音,二联律,陈发性室上性心动过速,窦性心律不齐,1,125MT.wav
101,心房纤颤,二联律,频发性室性期前收缩,陈发性室上性心动过速,窦性心动过缓,1,125MT.wav
102,正常心音,生理性第三心音,心房纤颤,二联律,陈发性室上性心动过速,3,125MT.wav
